iso_code,continent,location,date,population
AFG,Asia,Afghanistan,20201015,38928341
AFG,Asia,Afghanistan,20201016,38928341
AFG,Asia,Afghanistan,20201017,38928341
AFG,Asia,Afghanistan,20201018,38928341
AFG,Asia,Afghanistan,20201019,38928341
AFG,Asia,Afghanistan,20201020,38928341
AFG,Asia,Afghanistan,20201021,38928341
AFG,Asia,Afghanistan,20201022,38928341
AFG,Asia,Afghanistan,20201023,38928341
AFG,Asia,Afghanistan,20201024,38928341
AFG,Asia,Afghanistan,20201025,38928341
AFG,Asia,Afghanistan,20201026,38928341
AFG,Asia,Afghanistan,20201027,38928341
AFG,Asia,Afghanistan,20201028,38928341
AFG,Asia,Afghanistan,20201029,38928341
AFG,Asia,Afghanistan,20201030,38928341
AFG,Asia,Afghanistan,20201031,38928341
AFG,Asia,Afghanistan,20201101,38928341
AFG,Asia,Afghanistan,20201102,38928341
AFG,Asia,Afghanistan,20201103,38928341
AFG,Asia,Afghanistan,20201104,38928341
AFG,Asia,Afghanistan,20201105,38928341
AFG,Asia,Afghanistan,20201106,38928341
AFG,Asia,Afghanistan,20201107,38928341
AFG,Asia,Afghanistan,20201108,38928341
AFG,Asia,Afghanistan,20201109,38928341
AFG,Asia,Afghanistan,20201110,38928341
AFG,Asia,Afghanistan,20201111,38928341
AFG,Asia,Afghanistan,20201112,38928341
AFG,Asia,Afghanistan,20201113,38928341
AFG,Asia,Afghanistan,20201114,38928341
AFG,Asia,Afghanistan,20201115,38928341
AFG,Asia,Afghanistan,20201116,38928341
AFG,Asia,Afghanistan,20201117,38928341
AFG,Asia,Afghanistan,20201118,38928341
AFG,Asia,Afghanistan,20201119,38928341
AFG,Asia,Afghanistan,20201120,38928341
AFG,Asia,Afghanistan,20201121,38928341
AFG,Asia,Afghanistan,20201122,38928341
AFG,Asia,Afghanistan,20201123,38928341
AFG,Asia,Afghanistan,20201124,38928341
AFG,Asia,Afghanistan,20201125,38928341
AFG,Asia,Afghanistan,20201126,38928341
